node_id,map_id,x,y,z,description,type
1,1,0.100000,0.100000,0,4x4 block w:4 h:4,obstacle
2,1,0.300000,0.100000,0,4x4 block w:4 h:4,obstacle
3,1,0.500000,0.100000,0,4x4 block w:4 h:4,obstacle
4,1,0.700000,0.100000,0,4x4 block w:4 h:4,obstacle
5,1,0.900000,0.100000,0,4x4 block w:4 h:4,obstacle
6,1,1.100000,0.100000,0,4x4 block w:4 h:4,obstacle
7,1,1.300000,0.100000,0,4x4 block w:4 h:4,obstacle
8,1,1.500000,0.100000,0,4x4 block w:4 h:4,obstacle
9,1,1.700000,0.100000,0,4x4 block w:4 h:4,obstacle
10,1,1.900000,0.100000,0,4x4 block w:4 h:4,obstacle
11,1,2.100000,0.100000,0,4x4 block w:4 h:4,obstacle
12,1,2.300000,0.100000,0,4x4 block w:4 h:4,obstacle
13,1,2.500000,0.100000,0,4x4 block w:4 h:4,obstacle
14,1,2.700000,0.100000,0,4x4 block w:4 h:4,obstacle
15,1,2.900000,0.100000,0,4x4 block w:4 h:4,obstacle
16,1,3.100000,0.100000,0,4x4 block w:4 h:4,obstacle
17,1,3.300000,0.100000,0,4x4 block w:4 h:4,obstacle
18,1,3.500000,0.100000,0,4x4 block w:4 h:4,obstacle
19,1,3.700000,0.100000,0,4x4 block w:4 h:4,obstacle
20,1,3.900000,0.100000,0,4x4 block w:4 h:4,obstacle
21,1,4.100000,0.100000,0,4x4 block w:4 h:4,obstacle
22,1,4.300000,0.100000,0,4x4 block w:4 h:4,obstacle
23,1,4.500000,0.100000,0,4x4 block w:4 h:4,obstacle
24,1,4.700000,0.100000,0,4x4 block w:4 h:4,obstacle
25,1,4.900000,0.100000,0,4x4 block w:4 h:4,obstacle
26,1,5.100000,0.100000,0,4x4 block w:4 h:4,obstacle
27,1,5.300000,0.100000,0,4x4 block w:4 h:4,obstacle
28,1,5.500000,0.100000,0,4x4 block w:4 h:4,obstacle
29,1,5.700000,0.100000,0,4x4 block w:4 h:4,obstacle
30,1,5.900000,0.100000,0,4x4 block w:4 h:4,obstacle
31,1,6.100000,0.100000,0,4x4 block w:4 h:4,obstacle
32,1,6.300000,0.100000,0,4x4 block w:4 h:4,obstacle
33,1,6.500000,0.100000,0,4x4 block w:4 h:4,obstacle
34,1,6.700000,0.100000,0,4x4 block w:4 h:4,obstacle
35,1,6.900000,0.100000,0,4x4 block w:4 h:4,obstacle
36,1,7.100000,0.100000,0,4x4 block w:4 h:4,obstacle
37,1,7.300000,0.100000,0,4x4 block w:4 h:4,obstacle
38,1,7.500000,0.100000,0,4x4 block w:4 h:4,obstacle
39,1,7.700000,0.100000,0,4x4 block w:4 h:4,obstacle
40,1,7.900000,0.100000,0,4x4 block w:4 h:4,obstacle
41,1,8.100000,0.100000,0,4x4 block w:4 h:4,obstacle
42,1,8.300000,0.100000,0,4x4 block w:4 h:4,obstacle
43,1,8.500000,0.100000,0,4x4 block w:4 h:4,obstacle
44,1,8.700000,0.100000,0,4x4 block w:4 h:4,obstacle
45,1,8.900000,0.100000,0,4x4 block w:4 h:4,obstacle
